"Affiliated entity","Affiliated entity ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who made improvements in function","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay high-risk residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay low-risk residents who lose control of their bowels or bladder","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF","Average percentage of current residents up to date with COVID-19 vaccines","Average percentage of healthcare personnel up to date with COVID-19 vaccines"
"LORIEN HEALTH SERVICES",324,8,1,0,0,0,0,100,0,0,3.6,3.8,3.1,3,4.1,3.6,0.8,53,53.5,0.6,7,0.9,41818.4,5227.3,0,0,25.5,11.7,1.4,3.1,75.7,93.8,92,2.07,0.86,14.6,4.4,9.7,5.8,1.4,29.2,16.9,98,96.6,0,77,6.7,13.2,11,11,49.4,7.7
"LUTHERAN SENIOR SERVICES",326,5,1,0,0,1,20,0,100,0,4.6,4,4.2,4.6,4.8,3.9,1.2,54.3,49.1,0.3,1,0.2,19460,3892,0,0,21.8,12.3,1.2,3.5,88.9,89.6,82.6,1.67,0.71,16,4,5.7,2.3,0.6,11.5,5.9,92,91.8,0,50.5,6.5,2.5,23,9.9,54.2,4.6
"LUTHERAN SERVICES CAROLINAS",327,5,1,0,0,0,0,0,100,0,4.2,4,3.8,3,4.8,4.3,0.8,46.1,36.5,0.4,2,0.4,1300,260,0,0,20.4,9.6,2.6,3.5,67.9,85,81.8,1.84,0.87,17.3,3.6,8,4.3,1.5,21.3,16.6,98.7,89.9,0,63.3,8.9,1.3,21.8,9.6,37.4,1.1
"MADISON CREEK PARTNERS",328,12,2,0,0,4,33.3,100,0,0,2.3,2.2,2.7,3.9,3.5,3.4,0.5,57.9,52,1,66,5.5,964712.09,80392.67,0,0,20.5,12.3,2.4,0.7,76.2,75.4,79.4,1.59,1.38,22.4,4.4,7,1.3,0.9,15.4,13.3,93.9,92.9,0,39.6,6.2,0.7,15.9,10.6,30.9,7.9
"MAGNOLIA MANOR SENIOR LIVING",329,6,1,0,0,0,0,0,100,0,3.3,3.2,2.8,3.3,3.9,3.3,0.5,49.6,49.6,0.3,7,1.2,16321.7,2720.28,0,0,24.8,15,1.9,2.6,79.5,90.3,95,1.83,1.29,12.4,3.4,9.7,3.1,1,13,12.7,98.6,99.5,0,25.1,4.7,1.8,20,11.5,62.2,0.8
"MAINE VETERANS' HOME",330,5,1,0,0,0,0,0,100,0,4.8,4.4,4.8,4.2,5.4,4.5,1.5,44.5,37.5,0.2,2,0.4,8550.75,1710.15,0,0,12.5,5.7,0,3.5,67.4,78.4,85.9,0.79,0.69,14.4,5.3,5.1,2.8,1.1,18.1,14.6,96.6,96.4,0,64.4,7.8,8.6,15.9,9.4,33.4,8.5
"MAJESTIC CARE",331,27,3,2,1,6,22.2,63,11.1,25.9,1.6,1.7,1.1,3.6,3.1,2.7,0.4,65.3,66,0.9,127,4.7,2860639.36,105949.61,22,0.8,20.5,10.4,2.4,3.9,69,53.1,57.4,1.68,0.85,19.6,3.5,9.1,0.7,0.6,6.9,11.9,85.3,81.4,0.1,52.5,8,48.6,23.1,10.4,2.4,0.3
"MAJOR HOSPITAL",332,12,1,0,3,2,16.7,50,33.3,16.7,1.8,1.9,2.2,2.5,3.6,3.1,0.5,50.1,52,0.5,71,5.9,752584.83,62715.4,7,0.6,27.4,12.9,2.6,3.2,74.9,60.8,55.9,2.37,1.4,19.7,3.3,8.3,3,1.1,15.8,16.8,89.8,75.6,0,54.1,5.5,11.4,21.8,10.8,49,18.1
"MAPLE SPRINGS LIVING",333,3,2,0,0,0,0,100,0,0,2.3,1.7,4.3,4,5.6,5,1.4,53.4,43.6,0,35,11.7,187984.3,62661.43,1,0.3,21.8,14.2,1.8,2.8,81,87.4,87.2,2.01,1.46,12.7,5.3,11.4,3.8,4.5,11.3,8,98.4,95.4,0,55.7,4.5,3.6,16.1,9.9,28.1,1.4
"MARINER HEALTH CARE",334,19,1,0,0,4,21.1,100,0,0,3.2,2.7,3.7,4.1,4.1,3.8,0.5,40.2,43.1,0.6,101,5.3,522943.62,27523.35,0,0,21.2,10.3,0.8,0.6,78.9,99.7,99.9,1.97,0.92,9.4,2,7.7,0.2,0.3,6.8,6.1,99.9,99.9,0.1,23.4,4,0.9,11.8,11.3,36,12.3
"MARQUIS COMPANIES",335,16,3,0,0,0,0,100,0,0,4.5,4.2,3.9,3.9,4.7,4.3,0.8,51.2,40.2,0.3,20,1.3,521477.51,32592.34,1,0.1,19,13.1,1.3,5.9,79.7,72.3,85.4,1.45,1.11,14.3,1.5,12.4,3.2,2.1,22.8,14.4,89.5,95.5,0,59,5.3,3.9,10.8,9.7,35.4,5.2
"MARQUIS HEALTH SERVICES",336,61,8,1,0,4,6.6,95.1,4.9,0,2.9,2.6,2.1,4.4,3.4,3,0.7,53.4,54.6,1.1,112,1.8,2308879.22,37850.48,4,0.1,25.3,10.7,1,2.2,90.3,63.2,64.8,1.82,0.88,13.9,2.8,8.3,1.2,0.7,9,9.8,91.8,85,0.1,59.8,7.1,13.3,17.7,10.7,42.1,23
"MARSH POINTE MANAGEMENT",337,6,2,0,0,0,0,100,0,0,2.3,2.3,3.7,2.8,3.7,3.4,0.5,55.8,47.5,0.3,16,2.7,154580.32,25763.39,0,0,20.7,28,2.3,3.8,72.6,56.8,66.4,1.91,1.46,27.6,4,7.1,3.6,0.7,14.9,16,95.1,93,0,34.2,2.3,3.7,24.8,10.4,15.5,0
"MAXIMUS HEALTHCARE GROUP",338,10,3,0,0,1,10,100,0,0,3.4,3.5,2.7,3.6,3.6,3.2,0.5,52.4,55.9,0.2,18,1.8,491348.22,49134.82,1,0.1,21.1,14.1,1.9,2.7,79.9,79.3,83.4,2.06,1.07,6.4,2.2,9.6,1.9,1,13.7,15.3,94.3,96.5,0.2,59.2,9.2,12.7,17.5,10.3,47.8,17.8
"MAYBROOK C HOLDINGS",339,7,1,0,1,1,14.3,100,0,0,2.3,1.9,1.6,3.7,3.2,2.9,0.6,63.2,59.6,0.9,12,1.7,501939.58,71705.65,1,0.1,19.5,10.1,1.8,3.8,69.3,68.3,64.5,1.64,0.8,18.7,2.2,6,1.4,0.8,21,15.5,90.7,79,0.3,48.6,8.3,4.1,19.2,10.7,52.5,15.8
"MAYER FAMILY",340,10,2,0,0,1,10,100,0,0,2.6,2.6,2.3,3.1,3.4,2.9,0.7,41.6,44.2,0.9,11,1.1,153317.36,15331.74,1,0.1,24,11.4,1.6,2.7,71.5,80.1,81.8,1.99,1.3,11.6,2.7,8,3.1,1.7,14,17.2,95.8,88.7,0,48.8,6.1,15.2,16.1,11,64.9,1.4
"MB HEALTHCARE",341,8,3,0,1,1,12.5,100,0,0,3.1,2.5,2.6,4.6,3.4,3,0.5,50.4,36.6,0.7,21,2.6,414382.21,51797.78,1,0.1,23.4,7.5,1.1,1.4,89.2,80.7,78.5,2.6,0.98,3.7,2.4,7.2,0.3,1.1,6,5.5,94.3,90.3,0,45.3,5.8,7.3,15.3,10.1,67.3,28.3
"MCCULLOCH COUNTY HOSPITAL DISTRICT",342,5,1,0,0,0,0,80,0,20,2.8,3.2,1.2,3.4,2.9,2.6,0.3,66.4,83.3,0.8,7,1.4,141821.77,28364.35,3,0.6,23.7,17.1,0.9,1.8,69.6,79,96,2.65,2.02,1.5,2.8,5.3,0.6,2.1,14.4,16.2,97.1,100,0.2,46.4,5.9,2.2,29.6,11.1,19.9,10
"MEDICAL FACILITIES OF AMERICA",343,36,2,1,1,3,8.3,97.2,0,2.8,2,2.6,1.1,3.7,3.3,2.8,0.4,63.9,62.2,0.5,39,1.1,1965428.47,54595.24,7,0.2,22,12.6,1.4,3.3,81.1,64.2,67.3,1.52,1.11,10.6,3.4,9.3,2.1,0.8,16.2,19.1,90.5,86.1,0,57,6.4,26.5,19.8,10.8,24.3,1.5
"MEDICALODGES, INC.",344,22,3,0,1,3,13.6,100,0,0,2.2,2.3,3,2.8,3.7,3.2,0.6,96.4,97.1,1.4,22,1,359262.75,16330.13,9,0.4,22.8,13.3,0.7,2.6,82.4,54,61.8,1.93,1.42,20.2,4.8,6.1,2.6,1.8,20.3,18.7,89.4,75.6,0,43.4,5.1,2.6,23.6,10.3,22.5,2.9
MEDILODGE,345,50,1,0,1,7,14,100,0,0,3.1,2.6,3.8,4.3,3.9,3.3,0.9,50.5,43.2,0.7,121,2.4,5022988.95,100459.78,28,0.6,22.4,12.3,1.2,2.2,85.7,75,77.5,1.91,1.13,13.4,3.2,9,1.1,0.5,10.4,8,94.7,95.3,0.4,49.1,7.7,2.5,25,10.5,19.3,1.6
"MERCYHEALTH SYSTEM",346,3,2,0,0,0,0,0,100,0,4.3,4,5,4.3,5.7,5,2.3,29.2,11.1,0,2,0.7,80078.64,26692.88,0,0,23.9,12.3,0.3,3.4,63.2,95,94.9,1.03,0.82,0,0,9.8,3.7,0,25.6,10.8,94.3,100,0,"",2.6,0,5.1,10.5,15.8,1
"MGM HEALTHCARE",348,26,3,1,1,3,11.5,100,0,0,1.9,2,1.6,3.1,3.3,2.8,0.4,69.2,64.4,0.7,87,3.3,1988725.05,76489.43,14,0.5,23.7,13.3,0.9,2.5,70,53.2,57.3,2.13,1.69,13.7,2.9,7.3,1.2,0.4,14.9,19.7,84.3,72.9,0,37.6,5,16.8,21.3,10.2,44.2,15.9
"MIDWEST HEALTH",350,10,2,0,0,0,0,90,10,0,2.8,2.9,3.1,3.3,3.8,3.3,0.6,48.9,50.3,0.4,11,1.1,115460.18,11546.02,0,0,25.2,15.7,0.5,5.2,74.7,58.4,64.3,2.01,1.77,14,2.8,6.9,1.3,2.3,16.6,15.6,95,92.3,0,44.4,5,5.4,18.6,10.2,25.4,4.4
"MILLENNIUM HEALTH SYSTEMS",351,6,2,0,0,1,16.7,100,0,0,3,2.8,2.5,4,4.4,3.9,1,26.6,46.9,0,6,1,301396.71,50232.79,0,0,32.2,9.1,0.4,2,67.1,69.3,63.2,1.99,0.32,8.7,0.7,8.2,2.1,1.3,11.4,9.8,93.4,84.3,0.5,58.7,4.4,3.2,25.8,10.1,16.9,4
"MILLER'S MERRY MANOR",352,33,1,0,0,2,6.1,97,0,3,3.4,3.4,2.2,4.2,3.6,3.2,0.7,60,54.7,"",17,0.5,279559.25,8471.49,1,0,22.6,10.3,1.1,4.2,76.6,81.3,84.9,1.45,1.17,12.1,4.1,6.9,2.4,0.5,12.4,13.4,97.7,94.5,0.1,47,5.7,13.8,16,10.3,35.9,7.5
"MISSION HEALTH COMMUNITIES",354,40,5,0,1,3,7.5,100,0,0,2.4,2.5,2.7,3,3.4,3,0.6,53,44.3,0.3,48,1.2,928429.94,23210.75,4,0.1,18.9,13.1,2.7,2.1,75.3,67.9,71.5,1.96,1.42,23.1,3.6,7.6,3.7,1.8,16.1,15.3,94.6,93.8,0,37.3,4.8,17.4,25.8,10.1,21.5,1.1
"MISSION HEALTH SERVICES",355,5,2,0,0,1,20,20,60,20,2.8,3,1.6,4.2,3.2,2.7,0.6,59.4,50,1.5,14,2.8,109248.74,21849.75,1,0.2,14,10.1,1.2,2.3,74.5,79.2,81.3,1.06,0.91,18,3.3,4.6,3.2,1.6,18.6,17.2,97.4,87.7,0.2,43.2,4.5,13.4,26.4,8.9,30,4.5
"MISSION POINT HEALTHCARE SERVICES",356,24,1,0,4,10,41.7,100,0,0,2.3,2.1,2.5,4.1,3.3,2.9,0.6,58.1,53.6,1.1,137,5.7,4093999.74,170583.32,31,1.3,23.9,11,1.2,1.7,78.4,74,80.8,1.55,0.81,13.5,2.9,7.1,1.9,0.7,9.7,9.8,93.3,94.2,0.1,41.1,5.3,3.3,17.7,10.2,37.8,9.8
"MISSISSIPPI CARE CENTER",357,5,1,0,0,0,0,100,0,0,2.6,2.8,4,2.4,4.1,3.3,0.6,49.3,33,1,4,0.8,21671,4334.2,0,0,27.8,9.3,3,2,66.5,91.5,92.8,2.19,1.48,20.5,3,7.1,4.2,1.1,24.7,19.1,99.7,99.2,0.2,44.8,5.3,1.8,25,13.4,49.8,2.3
"ML HEALTHCARE",358,7,2,0,0,0,0,100,0,0,2.3,2.6,1.6,4,3.2,2.8,0.4,66.5,69.6,1,18,2.6,272488.44,38926.92,0,0,25.4,17.3,1.2,1.2,92,55.7,66.1,2.02,1.83,10.7,4.4,6.5,1.4,1.1,13.7,12.7,92.2,81.4,0.1,49.8,6.7,3.2,22.9,10,13.3,1.6
"MOMENTUM SKILLED SERVICES",360,6,1,0,0,0,0,50,0,50,2.2,2.5,1.3,3.8,3.4,3,0.2,64.1,85.9,0.7,11,1.8,294979.1,49163.18,1,0.2,23.9,9.6,1.1,2.8,80.8,88.3,88.8,2.6,1.8,7,6,7.2,0.6,0.9,11.6,11.2,98,98.2,0,60,4.4,3.2,17.3,11.1,11.3,7.5
"MONARCH HEALTHCARE MANAGEMENT",361,44,2,0,1,2,4.5,95.5,2.3,2.3,2.2,2.2,3,3,3.4,3,0.7,50.1,53.9,0.9,187,4.3,1996845.28,45382.85,10,0.2,19.7,14.3,2.2,2.4,76.7,69.7,81.4,1.75,1.42,20.1,3,8.7,1.9,2.1,19.7,14.8,93.4,91.9,0,48.1,6,6.9,12.4,10,42.6,9.9
NAHS,362,18,1,0,1,0,0,100,0,0,3.6,3.2,3.2,4.7,4.5,3.9,0.5,50.9,53.9,0.7,23,1.3,217382.62,12076.81,3,0.2,22.7,11.6,1.1,0.8,87.9,92,96.6,2.14,1.3,4.3,1.7,8.1,1.5,0.9,10.2,7.6,98.6,99.2,0,43.6,5.9,9.6,10.2,10.6,29.5,12.7
"NATIONAL HEALTH CARE ASSOCIATES",363,32,6,0,1,3,9.4,100,0,0,3,2.7,2.5,4,3.7,3.3,0.6,45.5,47.2,0.8,29,0.9,329185.13,10287.04,2,0.1,23,12.7,0.8,2.7,80.6,69.2,67.7,1.43,0.97,16.4,3.7,6.8,1.5,0.7,15.8,12.9,95.7,88.5,0,62.9,7.4,31.8,19.1,9.8,26.6,1.5
"NATIONAL HEALTHCARE CORPORATION",364,63,7,0,1,4,6.3,100,0,0,3.7,3.5,3.4,3.6,3.9,3.3,0.7,58.3,37.4,0.3,48,0.8,704708.2,11185.84,2,0,20.2,10.4,1.6,1.1,77.2,88,85.2,1.56,0.94,14.8,4.5,6.7,4.1,2,23.9,17.6,95.7,90.4,0,55.9,5.7,4.4,24.6,11.2,34.2,2.7
"NATIONAL LUTHERAN COMMUNITIES & SERVICES",365,3,2,0,0,0,0,0,100,0,4,3.7,4.3,4,4.6,4.1,1.1,46.3,42.5,0.3,1,0.3,655.01,218.34,0,0,13.1,9.6,0.8,4,74.3,82.1,94.5,1.17,0.78,22.1,2.2,6.3,1.7,0.3,21,16.4,97,87.5,0,62.2,4.4,1.8,25.3,9,46.3,17.7
"NATIONWIDE HEALTHCARE SERVICES",366,7,2,1,1,0,0,100,0,0,2.2,2.2,2.7,2.7,3.7,3.4,0.7,55.8,56.7,0,15,2.1,467328.63,66761.23,0,0,25.1,14.1,1.2,4.2,69.8,43.2,38.7,2.23,1.54,12.9,2.6,7.8,1.5,1.3,20,18.7,91.9,75.4,0,56,8.4,2,16.6,9.9,36.8,13.4
NEURORESTORATIVE,367,5,3,0,0,0,0,100,0,0,3.4,3,3.4,3.6,7.6,7.3,2.4,63.4,58,1,22,4.4,123363.63,24672.73,0,0,21.9,14.9,5,1.1,83.4,78.6,74.6,1.54,0.89,14.9,0.5,7.1,2.5,1.8,26.8,22.2,93.9,86.9,2.1,66.7,2.3,1.2,38.5,10.4,19.2,4.3
"NEW YORK CITY HEALTH + HOSPITALS",368,5,1,0,0,0,0,0,0,100,4.4,3.4,4.4,5,4.6,3.8,1.5,34.5,42.5,0,3,0.6,4562.94,912.59,0,0,16.4,6.4,0.5,3.5,78.9,78,67.4,1.5,0.46,5.4,1.1,14.8,0.7,0.3,10.9,9,99.2,96.2,0.9,41.8,3.7,7,4.4,9.5,27.7,0.8
"NEXCARE HEALTH SYSTEMS",369,18,1,0,0,0,0,100,0,0,3.6,3,3.4,4.6,3.6,3.2,0.6,53.4,45,0.7,31,1.7,781774.95,43431.94,5,0.3,22.7,8.4,1,1,82.2,77.1,73.3,1.89,0.77,10.8,2.8,7.4,1.6,0.8,9.3,9.2,92.9,88.2,0,38.2,5.9,2,15.2,10.8,33.5,9.6
"NEXION HEALTH",370,47,3,0,1,6,12.8,93.6,0,6.4,2.3,2.5,1.8,2.9,3.4,3,0.4,50.8,44.6,0.3,49,1,1085344.95,23092.45,3,0.1,24.9,14.4,2.3,2.9,67,85.7,87.2,2.02,1.52,11.6,3.2,7.1,1,1.7,15.2,17.7,99.2,99.3,0.1,50.6,5.3,2,24.3,11,12.3,0.7
"NEXT STEP HEALTHCARE",371,16,1,0,2,1,6.3,100,0,0,2.1,2.1,2.8,2.6,3.3,3,0.7,52.7,67.3,0.8,35,2.2,890746.44,55671.65,2,0.1,25.3,11.2,1.4,2.2,66.7,56.1,47.7,2.21,1.12,25.3,2.8,6.3,1.7,1.4,19.6,21.3,86.7,77.8,0.4,53.1,6.6,1.5,23.1,10.7,38,3.2
"NHS MANAGEMENT",372,48,4,0,2,2,4.2,100,0,0,2.4,2.4,3.2,2.6,4,3.3,0.5,56.3,52.8,4.5,33,0.7,1161130.85,24190.23,2,0,27.2,13.3,2.3,3.7,74.8,76.9,83.2,2.23,1.27,20.6,2.8,11.1,1.9,1.9,11.3,12.4,92.2,95,0,41.3,5.6,1.3,24.4,10.7,3.7,0.1
"NOLAND HEALTH",374,9,1,0,0,0,0,11.1,88.9,0,2.8,2.6,3.8,3.4,3.6,2.9,0.5,51.2,42.9,0.4,8,0.9,84503.25,9389.25,0,0,25.3,10.6,2.7,2.2,73.5,72.4,64.7,1.95,0.85,20.6,3.1,7.8,4.5,1.6,8.8,8.2,93,82.6,0,45.1,7.6,0.8,22.5,10.2,13.5,0
"NORTH COUNTRY ASSOCIATES",375,9,1,0,1,0,0,100,0,0,2.4,2.4,3.3,3.1,4.5,4.1,0.9,58.5,53.2,0.7,6,0.7,191967.4,21329.71,0,0,13.1,18,2.7,1.7,65,65.2,61.1,1.67,1.71,17.9,4.1,6,4.2,1.6,19.3,11.7,94.6,87,0,58.6,5.9,3.4,15.6,9.3,29.3,3.2
"NORTH MISSISSIPPI HEALTH SERVICES",376,2,2,0,0,0,0,0,100,0,2.5,2.5,4.5,1.5,4.2,3.5,0.9,38.8,31.9,0,0,0,0,0,0,0,34.8,11.9,4,0,55.4,81.8,94.4,2.25,0.65,18.3,3,8,5.4,3.1,22.3,21.4,98.5,98.6,0,24.8,8.4,0,18.2,10.3,1.6,0
"NORTH SHORE HEALTHCARE",377,59,4,0,1,1,1.7,100,0,0,2.8,2.8,2.7,3.6,3.2,2.8,0.9,55.6,49.6,0.8,93,1.6,2780326.69,47124.18,16,0.3,17,13.8,1.2,3.4,75.4,78.7,88.9,1.43,1.46,14.3,2.9,7.7,2.4,1.3,19.2,13.9,95.1,96.8,0.2,50.7,4,3.9,14.6,10.1,40.5,6.3
"NORTHWOOD HEALTHCARE GROUP",378,7,2,1,0,2,28.6,100,0,0,1.8,1.8,1.5,3.5,3.3,2.9,0.5,59.4,64.1,1.4,28,4,717749.26,102535.61,6,0.9,23.7,15.2,1.6,1.8,80.7,44.8,48.6,2.2,1.25,15.1,2.8,7.9,0.9,0.4,10.6,11.6,82.9,75.2,0,40,7,29.1,20.2,11,26.9,0.7
"NURSING CARE MANAGEMENT OF AMERICA",379,5,2,0,0,0,0,100,0,0,2.4,2.6,2.4,3,3.3,2.9,0.6,54,48.9,0.7,22,4.4,193626.82,38725.36,2,0.4,21,13.4,1.7,1.6,70.6,67.9,76.5,2.01,1.32,14.4,4,6.4,1.8,0.9,20.8,18,86.7,85.3,0.3,53.6,9,9.4,19.2,10.1,50.3,11.8
"O'NEILL HEALTHCARE",380,5,1,0,0,0,0,100,0,0,5,4,2.8,5,3.9,3.6,0.5,53.1,33.5,1,3,0.6,30376.39,6075.28,0,0,25.5,9,1.6,1.7,85.4,80.3,87.7,1.25,0.45,5.1,0.9,5.2,0.7,0.4,4.5,5.8,94.5,93.5,0,32,4.6,14.8,17.1,9.7,4.3,13.5
"OAKBEND MEDICAL CENTER",579,11,1,1,0,1,9.1,81.8,18.2,0,2.3,2.5,1.4,3.9,3.1,2.7,0.4,61.8,61.1,1.3,16,1.5,449750.13,40886.38,0,0,23.4,13.4,1.5,0.8,69.6,82.7,94.3,2.04,1.37,7.9,1.7,11.1,1,0.4,11.9,13.9,97.9,97.2,0.3,56.4,4.3,5.2,21.6,10.6,48.5,28.2
"OCEAN HEALTHCARE",381,11,1,0,0,0,0,100,0,0,3.3,2.9,2.6,4.5,3.2,2.8,0.5,45.5,45.7,0.5,17,1.5,258319.85,23483.62,0,0,26,8.2,0.7,2.8,83,79.6,75.7,1.75,0.78,6.8,3.1,7.7,1.5,0.9,13.5,11.6,97.4,93.4,0,45.5,6.6,3.3,14.2,11.6,34.2,4
"OHANA PACIFIC MANAGEMENT CO.",382,6,1,0,1,0,0,100,0,0,3.8,3,4.3,4.3,4.2,3.7,1.4,41.5,50.7,0.3,8,1.3,173304.64,28884.11,1,0.2,16.2,16.9,1,2.1,76.2,83.2,80.4,1.35,1.01,10.3,3.7,6.1,1.9,1.6,18.6,9.6,94.5,88.1,0,36.5,5.7,2.7,5.4,9,58,17.2
"OHIO LIVING COMMUNITIES",383,7,1,0,0,1,14.3,14.3,85.7,0,4.4,3.6,4.1,4.1,4.9,4.3,1.1,60.3,44.6,0.4,13,1.9,62005.21,8857.89,2,0.3,28,11.7,1.4,2.9,80.3,77.2,87.8,1.93,0.76,15.6,5.2,4.3,2.4,0,11.1,8.3,91.9,94.3,0,55.9,4.7,24.5,12.9,11.3,66.6,2.9
"OKLAHOMA NURSING HOMES, LTD.",384,7,1,0,0,0,0,100,0,0,2.3,2.7,3.5,2,3.8,3.4,0.5,58.2,71.4,0,47,6.7,224678.48,32096.93,2,0.3,23.1,20.8,0.8,2,81.8,79.4,84.1,2.8,2.45,12.5,8.1,11.1,3.8,4.1,16.5,17.6,97.3,94.5,0,22.4,6.6,3.5,28,10.2,34.6,12
"ONYX HEALTH",385,8,1,0,0,0,0,100,0,0,3.6,2.8,3.8,4.9,3.6,3.3,1,37.3,47.4,0.6,11,1.4,117056.31,14632.04,0,0,26,5.1,2.6,1.9,84.4,91.3,94.1,2.3,0.28,10.9,1.2,7.9,0.7,0.6,9.1,8.8,98.9,99.7,0,54.5,4.9,4.2,24.3,10.5,26.9,4.2
"OPIS SENIOR SERVICES GROUP",574,10,1,0,0,0,0,100,0,0,3.5,3,1.9,4.7,3.4,3.2,0.4,65.5,67.6,1.3,12,1.2,234763.17,23476.32,1,0.1,19.8,9.4,1.7,2.1,87.4,66.6,66.4,1.62,0.74,13.1,3.7,8.2,0.7,0.6,9.8,8.6,95.1,89.4,0,59.3,11.1,6.3,25.4,10.4,65.7,30.7
"OPTALIS HEALTH & REHABILITATION",601,24,2,0,0,1,4.2,100,0,0,2.8,2.4,2.5,4.3,3.8,3.3,0.6,57.8,51.9,0.8,64,2.7,2072236.22,86343.18,15,0.6,25.6,10.6,1.1,2.2,83.2,83.9,87,2.05,0.83,9.5,2.4,10.3,1.4,0.8,15.4,10.4,95.8,94.3,0,55.7,8,15.9,14.9,10.8,28.9,11.8
"OPTIMA CARE",386,5,2,0,0,0,0,100,0,0,2.6,2,3.2,4.8,3.7,3.3,0.8,31.8,36.4,1,11,2.2,144385.34,28877.07,0,0,23.3,5.8,0.5,2.1,81.4,88,90.1,1.54,0.39,4.7,1.6,8.8,1.1,0.3,12.5,14.8,97.4,97,0,50.9,3.4,10.5,12.7,10.5,45.7,3
"OPTIMUM HEALTHCARE MANAGEMENT",387,6,1,0,0,0,0,83.3,0,16.7,2.8,3.2,1.3,3.5,3.1,2.8,0.3,58.8,52.3,0.6,11,1.8,83145.88,13857.65,0,0,25.9,10.4,1,0.8,68.3,93.7,95.5,2.36,1.02,9.5,3.6,6.8,0.8,0.4,17.8,18.3,99.8,100,0,54.9,3,4.1,25.1,10.3,19.5,3.2
OSBYCORP,388,2,2,0,0,0,0,100,0,0,2,2.5,2.5,4,3.6,3.3,0.7,57.1,"",1,6,3,29485.19,14742.6,0,0,"","","","","",55.3,79.4,1.27,0.95,19.6,10.2,0,8.7,1.8,8.9,9.4,94.2,90,0,17,4.5,11.1,13.2,10.7,43,6.4
"OTTERBEIN SENIORLIFE",389,16,2,0,0,1,6.3,6.3,93.8,0,3.2,2.8,3.1,4.1,4.3,3.9,0.8,58,50.7,0.4,18,1.1,276332.61,17270.79,3,0.2,26.7,14.5,1.4,2.5,81.2,88.7,95.5,1.6,1.3,12.7,4.4,6.9,0.8,0.4,9.1,8.7,95.7,98.9,0,61.6,7.4,12.9,23.9,10.4,0.3,0
"PACIFIC RETIREMENT SERVICES",391,10,5,0,0,0,0,10,90,0,4.6,4.3,4.4,4.1,5.9,5.1,1.3,45,40.9,0.1,20,2,55734.72,5573.47,0,0,21.4,13.7,0.8,3.2,78.7,88.2,95.8,1.59,0.68,11.5,5.1,8.3,2,3.1,17.7,10.1,93.8,98.3,0,59.3,4.6,3.9,7.4,9.6,51.9,13.5
"PACIFICA SENIOR LIVING",392,2,2,0,0,0,0,100,0,0,2.5,2.5,3,4,6.3,5.8,0.6,"","","",12,6,189388.16,94694.08,1,0.5,22.6,29.5,0,1.7,75.6,35,32.2,1.35,0.19,59.3,2.4,5.8,0.9,1.4,20.5,19,96.8,85.5,0,45.5,7.7,1.6,34.3,10.5,0,1.2
"PALLADIAN HEALTHCARE",393,6,2,0,0,0,0,100,0,0,1.3,1.8,1.2,2.5,2.8,2.6,0.3,58.8,62.5,0.5,34,5.7,597882.75,99647.13,5,0.8,23.9,19.5,0.7,4.1,74.4,60.3,54.9,3.04,1.84,16,4.8,8.5,1.4,0.3,13.2,15.4,98,85.7,0,48.6,7.4,4.3,17.5,10.8,13,2.8
